PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,MONTH
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10140,ABQ,12339,IND,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10155,ACT,10185,AEX,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10155,ACT,10185,AEX,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10155,ACT,10781,BTR,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10155,ACT,12892,LAX,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10155,ACT,14492,RDU,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10172,ADW,11995,GSO,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,10140,ABQ,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,10423,AUS,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,10559,BFI,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,10693,BNA,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,10781,BTR,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,10821,BWI,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,10821,BWI,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,11193,CVG,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,11259,DAL,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,11267,DAY,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,11292,DEN,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,11789,FTW,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,11995,GSO,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,11995,GSO,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,12054,GYR,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,12191,HOU,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,12339,IND,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,13360,MLB,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,13377,MLU,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,13587,MZJ,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,14524,RIC,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,14574,ROA,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,14711,SCE,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,15016,STL,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,15370,TUL,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,15919,XNA,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10194,AFW,11049,CLL,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10194,AFW,13341,MKC,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10216,AHN,11111,COU,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10216,AHN,13105,LUK,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10216,AHN,13851,OKC,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10216,AHN,14100,PHL,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10216,AHN,14761,SFB,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10257,ALB,10721,BOS,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10397,ATL,11067,CMI,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10397,ATL,15412,TYS,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10423,AUS,10216,AHN,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10423,AUS,10781,BTR,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10423,AUS,11049,CLL,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10423,AUS,11150,CSG,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10423,AUS,11193,CVG,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10423,AUS,11193,CVG,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10423,AUS,12007,GTR,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10423,AUS,14730,SDF,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10423,AUS,15370,TUL,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10423,AUS,15919,XNA,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10529,BDL,11003,CID,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10529,BDL,11193,CVG,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10529,BDL,11193,CVG,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10529,BDL,13487,MSP,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10529,BDL,14524,RIC,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10529,BDL,14576,ROC,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10529,BDL,14576,ROC,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10529,BDL,14576,ROC,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10540,BED,10529,BDL,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10540,BED,10721,BOS,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10540,BED,11066,CMH,3
