Source,Target,Number_synapses,Number_sections,Type
ADF,ADF,2,4,Chemical
ADF,ADF,1,4,Electrical
AFD,ADF,1,2,Chemical
AIY,ADF,2,12,Chemical
AIY,ADF,1,2,Electrical
AIZ,ADF,2,2,Chemical
ASI,ADF,1,2,Electrical
AUA,ADF,2,2,Chemical
AWA,ADF,5,7,Chemical
AWA,ADF,3,9,Electrical
AWB,ADF,13,25,Chemical
AWB,ADF,1,1,Electrical
AWC,ADF,2,5,Chemical
AWC,ADF,1,10,Electrical
ADF,ADL,1,20,Electrical
ADL,ADL,2,3,Chemical
ADL,ADL,1,5,Electrical
AIA,ADL,2,6,Chemical
ASE,ADL,3,8,Chemical
ASH,ADL,1,1,Chemical
ASI,ADL,11,20,Chemical
ASJ,ADL,1,1,Chemical
ASK,ADL,1,2,Chemical
AWB,ADL,4,7,Chemical
AFD,AFD,1,5,Electrical
AIY,AFD,1,1,Chemical
ASE,AFD,1,1,Chemical
ASH,AFD,4,5,Chemical
ASH,AFD,1,1,Electrical
AWC,AFD,3,7,Chemical
ADL,AIA,8,12,Chemical
AIA,AIA,1,5,Chemical
AIA,AIA,1,3,Electrical
AIB,AIA,1,3,Chemical
ASE,AIA,10,21,Chemical
ASG,AIA,14,31,Chemical
ASH,AIA,10,25,Chemical
ASH,AIA,1,2,Electrical
ASI,AIA,4,8,Chemical
ASJ,AIA,2,4,Chemical
ASK,AIA,30,61,Chemical
AWA,AIA,2,2,Chemical
AWB,AIA,5,12,Chemical
AWC,AIA,1,2,Chemical
ADL,AIB,53,114,Chemical
AIA,AIB,18,63,Chemical
AIB,AIB,2,4,Chemical
AIB,AIB,2,25,Electrical
AIY,AIB,3,8,Chemical
AIY,AIB,2,16,Electrical
AIZ,AIB,16,72,Chemical
ASE,AIB,10,28,Chemical
ASG,AIB,6,11,Chemical
ASH,AIB,15,22,Chemical
ASI,AIB,12,25,Chemical
ASJ,AIB,1,1,Chemical
ASK,AIB,2,4,Chemical
ASK,AIB,1,1,Electrical
AWA,AIB,19,45,Chemical
AWB,AIB,5,10,Chemical
AWC,AIB,14,22,Chemical
ADF,AIY,2,4,Chemical
ADF,AIY,2,7,Electrical
AFD,AIY,46,113,Chemical
AIY,AIY,1,6,Electrical
AIZ,AIY,1,3,Chemical
ASE,AIY,1,2,Chemical
ASH,AIY,18,26,Chemical
ASI,AIY,8,12,Chemical
AWA,AIY,13,30,Chemical
AWB,AIY,1,5,Chemical
AWC,AIY,30,82,Chemical
ADF,AIZ,23,70,Chemical
AFD,AIZ,1,1,Chemical
AFD,AIZ,2,6,Electrical
AIB,AIZ,1,1,Chemical
AIY,AIZ,32,145,Chemical
AIZ,AIZ,2,6,Chemical
AIZ,AIZ,2,14,Electrical
ASG,AIZ,1,4,Chemical
ASG,AIZ,1,2,Electrical
ASI,AIZ,15,22,Chemical
AWA,AIZ,21,46,Chemical
AWA,AIZ,2,11,Electrical
AWB,AIZ,4,7,Chemical
AWB,AIZ,3,6,Electrical
AWC,AIZ,2,3,Chemical
ADL,ASE,3,5,Chemical
