Penguin source,Penguin sink,Info
Kamanza,Tera,rejected
Sakura,Tera,rejected
Kami,Joufuku,formerly BL and two birds' love became catastrophe
Joufuku,Kami,formerly BL and two birds' love became catastrophe
Yanagi,Tera,rejected
Kagura,Same,broke up due to Kagura's fathers' interference
Same,Kagura,broke up due to Kagura's fathers' interference
Oike,Shichijou,"lived on ""Tawa-man"" together"
Shichijou,Oike,"lived on ""Tawa-man"" together"
Kuruma,Nijou,formerly BL (amicable separation) and now love rivals
Nijou,Kuruma,formerly BL (amicable separation) and now love rivals
Shichijou,Aya,still meet occasionally
Aya,Shichijou,still meet occasionally
Kuruma,Tera,rejected
Naka,Tera,rejected
Tera,Takakura,originally a couple and moved on to new relationship
Takakura,Tera,originally a couple and moved on to new relationship
